home_team,away_team,competition_name,prediction,status,result,start_date
Pomorie,Strumska Slava Radomir,Second PFL,1X,lost,0 - 2,2018-12-01T12:30:00
FC Koln,Greuther Furth,2. Bundesliga,1,won,4 - 0,2018-12-01T12:00:00
Sankt Pauli,Dynamo Dresden,2. Bundesliga,1X,won,01-Jan,2018-12-01T12:00:00
Sloboda Tuzla,Mladost Doboj Kakanj,Premier League,12,won,02-Jan,2018-12-01T12:00:00
Mornar Bar,Zeta Golubovci,Prva Liga,2,lost,0 - 0,2018-12-01T12:00:00
Sutjeska Niksic,Grbalj Radanovici,Prva Liga,1X,won,3 - 0,2018-12-01T12:00:00
Sheffield United,Leeds,Championship,12,won,0 - 1,2018-12-01T12:30:00
Grenoble Foot 38,Metz,Ligue 2,1X,won,01-Jan,2018-12-01T13:00:00
Preussen Munster,Hallescher,3. Liga,1X,lost,01-Feb,2018-12-01T13:00:00
Botev Plovdiv,Beroe Stara Zagora,First PFL,12,won,04-Jan,2018-12-01T13:00:00
Platanias FC,AO Trikala,Football League,1,won,2 - 0,2018-12-01T13:00:00
Warta Poznan,Puszcza Niepolomice,First League,12,won,2 - 0,2018-12-01T12:00:00
FC Nitra,FK Senica,Superliga,1,won,1 - 0,2018-12-01T13:00:00
Antalyaspor,Goztepe,Super Lig,1X,won,1 - 0,2018-12-01T13:00:00
Balikesirspor,Denizlispor,TFF First League,12,lost,0 - 0,2018-12-01T13:00:00
Sion,Luzern,Swiss Super League,12,won,2 - 0,2018-12-01T18:00:00
Zulte Waregem,Oostende,First Division A,1,lost,01-Jan,2018-12-01T19:00:00
Szombathelyi Haladas,Diosgyori,NB I,1X,won,01-Jan,2018-12-01T16:00:00
Apollon Smyrni,Atromitos Athens,Super League,2,lost,01-Jan,2018-12-01T17:00:00
SPAL,Empoli,Serie A,12,lost,02-Feb,2018-12-01T14:00:00
Cremonese,Crotone,Serie B,1X,won,1 - 0,2018-12-01T14:00:00
NK Osijek,HNK Rijeka,Prva HNL,1X,lost,01-Feb,2018-12-01T14:00:00
Chrobry Glogow,Wigry Suwalki,First League,1X,lost,0 - 2,2018-12-01T14:00:00
Istanbul Basaksehir,Sivasspor,Super Lig,1,lost,0 - 1,2018-12-01T13:00:00
SP Tre Penne,SS Virtus,Campionato Sammarinese,1,won,04-Jan,2018-12-01T14:00:00
Leicester,Watford,Premier League,1X,won,2 - 0,2018-12-01T15:00:00
Birmingham,Preston,Championship,1X,won,3 - 0,2018-12-01T15:00:00
Norwich,Rotherham,Championship,1,won,03-Jan,2018-12-01T15:00:00
Queens Park Rangers,Hull City,Championship,12,won,02-Mar,2018-12-01T15:00:00
Eastleigh,Dover Athletic,National League,1X,won,02-Feb,2018-12-01T15:00:00
Werder Bremen,Bayern Munchen,Bundesliga,2,won,01-Feb,2018-12-01T14:30:00
Ballymena United,Linfield,NIFL Premiership,2,lost,02-Jan,2018-12-01T15:00:00
